Amplitude,Width,Visible time,From_left,Distance,Time
160,40,0.5,True,-5.0,0.5181984901428223
160,80,0.5,False,47.0,0.3981754779815674
160,80,0.5,False,14.0,0.4152522087097168
160,80,0.5,False,20.0,0.3780505657196045
160,80,0.5,False,33.0,0.4293050765991211
160,80,0.5,False,14.0,0.4780285358428955
160,80,0.5,False,14.0,0.3858218193054199
160,80,0.5,False,18.0,0.3976776599884033
160,80,0.5,False,31.0,0.4821031093597412
160,80,0.5,False,8.0,0.45977044105529785
160,80,0.5,False,24.0,0.401170015335083
160,80,0.5,False,32.0,0.5631890296936035
160,160,0.5,False,28.0,0.33098936080932617
160,160,0.5,False,20.0,0.32264280319213867
160,160,0.5,False,41.0,0.26794958114624023
160,160,0.5,False,42.0,0.3341498374938965
160,160,0.5,False,20.0,0.3621809482574463
160,160,0.5,False,30.0,0.31913280487060547
160,160,0.5,False,27.0,0.3518791198730469
160,160,0.5,False,59.0,0.33062219619750977
160,160,0.5,False,57.0,0.2959611415863037
160,160,0.5,False,45.0,0.2979402542114258
640,80,0.5,True,8.0,0.595949649810791
640,80,0.5,True,-72.0,0.5474588871002197
640,80,0.5,True,25.0,0.6475832462310791
640,80,0.5,True,-5.0,0.729945182800293
640,80,0.5,True,80.0,0.6669876575469971
640,80,0.5,True,0.0,0.936326265335083
640,80,0.5,True,-18.0,0.9194772243499756
640,80,0.5,True,-29.0,0.7053999900817871
640,80,0.5,True,-48.0,0.5832316875457764
640,80,0.5,True,37.0,0.6891777515411377
640,80,0.5,True,-8.0,0.7947750091552734
640,80,0.5,True,-9.0,0.8256237506866455
640,80,0.5,True,11.0,0.8446784019470215
1280,80,0.5,True,9.0,1.15922212600708
1280,80,0.5,True,-3.0,0.9991333484649658
1280,80,0.5,True,-6.0,0.859898567199707
1280,80,0.5,True,-35.0,0.8534383773803711
1280,80,0.5,True,-2.0,1.0101923942565918
1280,80,0.5,True,15.0,0.8625030517578125
1280,80,0.5,True,-37.0,0.9727411270141602
1280,80,0.5,True,17.0,0.9011735916137695
1280,80,0.5,True,2.0,0.8115372657775879
1280,80,0.5,True,9.0,0.9725151062011719
320,80,0.5,False,0.0,0.5196754932403564
320,80,0.5,False,13.0,0.5237774848937988
320,80,0.5,False,-10.0,0.5332577228546143
320,80,0.5,False,19.0,0.5475761890411377
320,80,0.5,False,-9.0,0.6647157669067383
320,80,0.5,False,4.0,0.6750540733337402
320,80,0.5,False,16.0,0.5776157379150391
320,80,0.5,False,-19.0,0.6166958808898926
320,80,0.5,False,39.0,0.697883129119873
320,80,0.5,False,-21.0,0.4964945316314697
640,40,0.5,True,-1.0,0.7346842288970947
640,40,0.5,True,13.0,0.6943228244781494
640,40,0.5,True,17.0,0.7776758670806885
640,40,0.5,True,14.0,0.7486207485198975
640,40,0.5,True,8.0,0.7506585121154785
640,40,0.5,True,-1.0,0.8298516273498535
640,40,0.5,True,2.0,0.6519875526428223
640,40,0.5,True,6.0,0.7760360240936279
640,40,0.5,True,13.0,0.8865184783935547
640,40,0.5,True,-5.0,0.9135775566101074
